Agent,Period,Job,PP,h_cum,h,c,w
2,39,0,1,100333.33333333333,2166.6666666666715,51626.09941690172,79319.19117280454
2,40,0,0,102500.0,2166.6666666666715,66216.1181034231,70726.92690622972
3,1,0,0,9333.333333333332,2166.666666666666,13602.72525318867,39215.10599040658
3,2,1,0,11500.0,2166.666666666668,12935.880932988759,37155.05839338669
3,3,3,1,13666.666666666666,2166.666666666666,15228.419919862274,39263.15629928711
3,4,1,0,15833.333333333332,2166.666666666666,17166.38918534498,40871.8602313977
3,5,1,1,18000.0,2166.666666666668,19553.66931586569,43113.39636778709
3,6,0,0,20166.666666666664,2166.6666666666642,24789.9597985753,49367.6231410623
3,7,0,0,22333.333333333332,2166.666666666668,24158.038488623453,47356.762882419964
3,8,6,0,24500.0,2166.666666666668,22853.974054501912,44399.22216720067
3,9,5,1,26666.666666666664,2166.6666666666642,20679.009159504396,40215.06108455027
3,10,0,0,28833.333333333332,2166.666666666668,60048.535873990826,66523.51235032069
3,11,3,1,31000.0,2166.666666666668,27361.76646385069,48506.56507139835
3,12,0,0,33166.666666666664,2166.6666666666642,33871.3445581483,56554.15467789609
3,13,1,0,35333.33333333333,2166.6666666666642,30733.193263319903,51013.3930321036
3,14,6,0,37500.0,2166.6666666666715,30663.711269113795,49794.700823807456
3,15,0,0,39666.666666666664,2166.6666666666642,58110.48637207691,59310.54418602383
3,16,1,1,41833.33333333333,2166.6666666666642,56551.55105829994,57114.86064549288
3,17,8,1,44000.0,2166.6666666666715,40898.45993103704,35068.253423995826
3,18,6,0,46166.666666666664,2166.6666666666642,53347.23828628354,52601.74406518808
3,19,0,0,48333.33333333333,2166.6666666666642,60357.24558051314,62474.99377537062
3,20,0,0,50500.0,2166.6666666666715,57835.36030929803,58923.04268915215
3,21,4,0,52666.666666666664,2166.6666666666642,50284.89550751873,48288.58522185737
3,22,0,1,54833.33333333333,2166.6666666666642,64802.058020611854,68735.29298677726
3,23,0,0,57000.0,2166.6666666666715,59176.05802722209,60811.34933411562
3,24,0,1,59166.666666666664,2166.6666666666642,62337.80937084664,65264.52024062908
3,25,1,1,61333.33333333333,2166.6666666666642,60457.730750231094,62616.52218342408
3,26,1,1,63499.99999999999,2166.6666666666642,57796.426739563576,58868.20667544166
3,27,1,1,65666.66666666666,2166.6666666666642,58131.497987707764,59340.13801085601
3,28,1,1,67833.33333333333,2166.6666666666715,58457.87825301073,59799.82852536723
3,29,3,0,70000.0,2166.6666666666715,55585.97892266098,55754.89989107181
3,30,1,1,72166.66666666666,2166.666666666657,62210.653141839946,65085.42696033795
3,31,6,1,74333.33333333333,2166.6666666666715,60711.08479369652,62973.358864361304
3,32,1,0,76500.0,2166.6666666666715,60316.25011755391,62417.25368669565
3,33,2,1,78666.66666666666,2166.666666666657,53100.60674203161,52254.37569300227
3,34,1,1,80833.33333333333,2166.6666666666715,63468.054221786704,66856.41439688268
3,35,0,1,83000.0,2166.6666666666715,69855.58004900889,75852.9296464914
3,36,6,0,85166.66666666666,2166.666666666657,59768.82083662547,61646.226530458414
3,37,0,1,87333.33333333333,2166.6666666666715,70506.32669863764,76769.4742234333
3,38,6,1,89500.0,2166.6666666666715,62716.38047421474,65797.71897776725
3,39,3,0,91666.66666666666,2166.666666666657,58426.41719262938,59755.51717271744
3,40,4,1,93833.33333333333,2166.6666666666715,57897.78574668419,59010.96584040027
4,1,2,0,18000.0,2166.666666666668,11034.186364944493,33355.78509517756
4,2,0,0,20166.666666666664,2166.6666666666642,23198.380851206843,49367.6231410623
4,3,0,1,22333.333333333332,2166.666666666668,25431.163786682686,51391.55759428991
4,4,0,1,24500.0,2166.666666666668,27093.505011611465,52612.05301857802
4,5,1,1,26666.666666666664,2166.6666666666642,26832.324028144343,51123.362233857835
4,6,0,1,28833.333333333332,2166.666666666668,33061.42178020235,58775.90910480692
4,7,6,1,31000.0,2166.666666666668,28331.736178744897,50993.54984404393
4,8,5,1,33166.666666666664,2166.6666666666642,23062.717628402683,42451.566711612424
4,9,0,1,35333.33333333333,2166.6666666666642,37595.84338066384,61799.9276673546
4,10,6,0,37500.0,2166.6666666666715,29867.92179542964,49794.700823807456
4,11,1,1,39666.666666666664,2166.6666666666642,35340.502264309354,56381.73039450542
4,12,6,1,41833.33333333333,2166.6666666666642,54961.50199806076,54875.35492684615
4,13,0,0,44000.0,2166.6666666666715,59277.589017913546,60954.350729455706
4,14,3,0,46166.666666666664,2166.6666666666642,51525.791981752496,50036.326734862676
4,15,0,1,48333.33333333333,2166.6666666666642,63345.69050279132,66684.07113069201
4,16,3,0,50500.0,2166.6666666666715,52369.915015764615,51225.23241656988
4,17,0,1,52666.666666666664,2166.6666666666642,64332.795237127866,68074.3594889125
4,18,0,1,54833.33333333333,2166.6666666666642,61502.73729711,64088.36239029577
4,19,6,1,57000.0,2166.6666666666715,57973.7766611041,59117.99529732972
4,20,0,1,59166.666666666664,2166.6666666666642,96595.6198427683,85494.20140938454
4,21,6,0,61333.33333333333,2166.6666666666642,35526.93003537733,56644.304719953274
4,22,8,1,63499.99999999999,2166.6666666666642,43188.955721022925,38294.30383242666
4,23,8,1,65666.66666666666,2166.6666666666642,41554.04526916589,35991.613055163216
