Agent,Period,Job,PP,h_cum,h,c,w
2001,1,1,0,7166.666666666666,2166.666666666666,20556.89359254494,46768.048796023264
2001,2,0,0,9333.333333333332,2166.666666666666,46008.83917282721,53474.273112210314
2001,3,0,0,11500.0,2166.666666666668,35438.987303223985,66607.91391855123
2001,4,0,1,13666.666666666666,2166.666666666666,45892.006567400946,80209.64601783676
2001,5,1,0,15833.333333333332,2166.666666666666,28349.98646820672,54381.74521096571
2001,6,3,0,18000.0,2166.666666666668,30007.538506388133,55595.49530180684
2001,7,1,1,20166.666666666664,2166.6666666666642,39789.56666209662,68252.16950184111
2001,8,0,0,22333.333333333332,2166.666666666668,46283.948441063185,76278.35584730913
2001,9,0,1,24500.0,2166.666666666668,73415.47344589405,113370.94110244534
2001,10,3,1,26666.666666666664,2166.6666666666642,45577.76151900969,73042.06589037692
2001,11,3,0,28833.333333333332,2166.666666666668,36351.742380192125,58926.84249248701
2001,12,1,1,31000.0,2166.666666666668,49061.11448176749,75706.5363345873
2001,13,0,1,33166.666666666664,2166.6666666666642,88263.14950020716,101779.08380310869
2001,14,1,1,35333.33333333333,2166.6666666666642,71433.11194008926,78074.8055494215
2001,15,0,0,37500.0,2166.6666666666715,74910.437184687,82972.4467389958
2001,16,0,1,39666.666666666664,2166.6666666666642,89861.5304895287,104030.32463313903
2001,17,0,1,41833.33333333333,2166.6666666666642,90779.93425923106,105323.85106933952
2001,18,3,1,44000.0,2166.6666666666715,74337.7670435259,82165.86907538859
2001,19,0,1,46166.666666666664,2166.6666666666642,94050.71790324143,109930.5885961147
2001,20,0,1,48333.33333333333,2166.6666666666642,93318.54943161263,108899.36539663751
2001,21,0,1,50500.0,2166.6666666666715,94102.63892085507,110003.71678993672
2001,22,6,1,52666.666666666664,2166.6666666666642,75007.89564423455,83109.71217497825
2001,23,0,0,54833.33333333333,2166.6666666666642,78545.33586173877,88092.02234047714
2001,24,1,1,57000.0,2166.6666666666715,77916.25507433899,87205.99306244928
2001,25,5,1,59166.666666666664,2166.6666666666642,63670.292463762366,67141.2569912146
2001,26,0,1,61333.33333333333,2166.6666666666642,99305.61516988257,117331.8523519473
2001,27,6,1,63499.99999999999,2166.6666666666642,77585.61303382712,86740.30004764383
2001,28,3,1,65666.66666666666,2166.6666666666642,79947.72193191861,90067.21398861776
2001,29,1,0,67833.33333333333,2166.6666666666715,64861.16806604807,68818.5465718987
2001,30,0,1,70000.0,2166.6666666666715,101848.91449133825,120913.9640723074
