occname,indname,jobgrp,pp_to_fw,fw_to_pp,lambda_l,lambda_e,lambda_u
"H","B",1,.0646014,.074235,.0385342,.1598036,.0279562
"L","B",2,.0599482,.0700629,.0532873,.1974837,.0395954
"M","B",3,.0442181,.0648447,.082764,.2337244,.0638133
"H","M",4,.0656966,.0704758,.0407304,.1213353,.0253941
"L","M",5,.0616891,.0642667,.0604863,.164619,.0363433
"M","M",6,.0472023,.0552577,.0709049,.2103387,.0599809
"H","S",7,.0530541,.0580895,.0458294,.1570459,.0414508
"L","S",8,.0441925,.050679,.0703807,.1808317,.0558317
"M","S",9,.0458565,.0475762,.0860629,.2160989,.0673927
