Agent,Period,Job,PP,h_cum,h,c,w
1001,1,0,1,13666.666666666666,2166.666666666666,26476.136215617138,53984.179992344405
1001,2,1,0,15833.333333333332,2166.666666666666,14076.002355099761,35398.37247938438
1001,3,6,0,18000.0,2166.666666666668,15184.735073606098,35839.13761293666
1001,4,6,0,20166.666666666664,2166.6666666666642,14696.374884749202,34030.47611639989
1001,5,1,0,22333.333333333332,2166.666666666668,18709.387352022142,38561.77610737001
1001,6,6,1,24500.0,2166.666666666668,24658.245398889212,45819.61916819085
1001,7,2,0,26666.666666666664,2166.6666666666642,16553.886523579913,33284.198958340916
1001,8,7,1,28833.333333333332,2166.666666666668,20864.053108560067,38234.02587565914
1001,9,0,0,31000.0,2166.666666666668,34097.54389177812,55751.91504401658
1001,10,0,0,33166.666666666664,2166.6666666666642,32437.10860108408,52292.44354489236
1001,11,0,0,35333.33333333333,2166.6666666666642,53683.57646558292,53075.45981068017
1001,12,1,0,37500.0,2166.6666666666715,46973.942329970545,43625.27088728246
1001,13,3,1,39666.666666666664,2166.6666666666642,54330.24951653224,53986.2669246933
1001,14,0,0,41833.33333333333,2166.6666666666642,58461.46033116761,59804.873705869875
1001,15,6,1,44000.0,2166.6666666666715,53348.656754168034,52603.74190727893
1001,16,5,1,46166.666666666664,2166.6666666666642,47230.84109695208,43987.100136552224
1001,17,0,0,48333.33333333333,2166.6666666666642,59902.93401666859,61835.11833333604
1001,18,0,0,50500.0,2166.6666666666715,56938.50667530824,57659.86855677218
1001,19,0,0,52666.666666666664,2166.6666666666642,57335.368672093435,58218.82911562456
1001,20,3,1,54833.33333333333,2166.6666666666642,57304.05121662268,58174.720023412236
1001,21,0,1,57000.0,2166.6666666666715,70045.70112382092,76120.70580819849
1001,22,0,0,59166.666666666664,2166.6666666666642,58451.2204540128,59790.451343680004
1001,23,0,1,61333.33333333333,2166.6666666666642,66732.32159414531,71453.974076261
1001,24,3,1,63499.99999999999,2166.6666666666642,58711.81359578113,60157.48393771991
1001,25,6,0,65666.66666666666,2166.6666666666642,50539.8304224397,48647.64848230944
1001,26,6,0,67833.33333333333,2166.6666666666715,48120.5014467807,45240.14288278972
1001,27,1,1,70000.0,2166.6666666666715,58378.289939479386,59687.732309125895
1001,28,0,0,72166.66666666666,2166.666666666657,64113.0445620294,67764.85149581605
1001,29,3,1,74333.33333333333,2166.6666666666715,60267.890761642586,62349.14191780646
1001,30,4,1,76500.0,2166.6666666666715,54735.92523292979,54557.641173140546
1001,31,0,1,78666.66666666666,2166.666666666657,74153.63261765422,81906.5248135975
1001,32,0,1,80833.33333333333,2166.6666666666715,70013.42773477288,76075.25033066602
1001,33,3,1,83000.0,2166.6666666666715,61386.28907062286,63924.350803694164
1001,34,4,1,85166.66666666666,2166.666666666657,55687.22381056079,55897.49832473351
1001,35,3,0,87333.33333333333,2166.6666666666715,54733.25798446202,54553.88448515778
1001,36,1,0,89500.0,2166.6666666666715,53796.83886165283,53234.984312187094
1001,37,0,0,91666.66666666666,2166.666666666657,66785.80474445889,71529.30245698435
1001,38,0,1,93833.33333333333,2166.6666666666715,71861.71835108864,78678.47655082906
1001,39,0,0,96000.0,2166.6666666666715,63371.4069967891,66720.29154477338
1001,40,6,1,98166.66666666666,2166.666666666657,60837.32706541334,63151.16488086386
1002,1,0,0,11500.0,2166.666666666668,18236.703827818794,43500.17588795826
1002,2,1,0,13666.666666666666,2166.666666666666,12343.692682193741,34079.3299452692
1002,3,6,0,15833.333333333332,2166.666666666666,13578.338691209621,34697.43774151094
1002,4,1,1,18000.0,2166.666666666668,20509.255912987945,43338.46273882659
1002,5,3,1,20166.666666666664,2166.6666666666642,23149.536759431565,45936.33791172716
1002,6,1,1,22333.333333333332,2166.666666666668,23782.823125662188,45707.460295595425
1002,7,5,1,24500.0,2166.666666666668,19028.892124782342,37890.95258494174
1002,8,4,1,26666.666666666664,2166.6666666666642,23265.913043144847,42737.75743660139
1002,9,0,0,28833.333333333332,2166.666666666668,32627.282023338877,54801.953924643385
1002,10,1,0,31000.0,2166.666666666668,24132.844274149153,41717.126850172965
1002,11,6,0,33166.666666666664,2166.6666666666642,24808.62720714268,41548.1035534256
1002,12,0,0,35333.33333333333,2166.6666666666642,56822.131048906405,57495.95922381184
1002,13,1,1,37500.0,2166.6666666666715,52713.56410823131,51709.245222861005
1002,14,0,0,39666.666666666664,2166.6666666666642,57939.97330899364,59070.38494224457
1002,15,0,1,41833.33333333333,2166.6666666666642,62460.237942932516,65436.95484920073
1002,16,3,1,44000.0,2166.6666666666715,55263.563334126055,55300.79342834656
1002,17,3,1,46166.666666666664,2166.6666666666642,52649.73153749106,51619.34019364938
1002,18,0,1,48333.33333333333,2166.6666666666642,68038.36067715526,73293.46574247221
